Kills	Deaths	Snowballs Thrown	Hit	Friendly Fire	Structures Built	Structures Destroyed	Damage Dealt	Damage Taken	Snow Used	Biggest Snowball	# Large	# Small	Amount Scooped	Tiles Raised	Tiles Lowered	
0	0	0	0	0	1	0	0	0	18	0	0	0	0	0	0	
0	0	2	0	0	2	0	0	0	61	0	2	0	0	0	0	
0	0	2	0	0	3	0	0	0	61	0	2	0	0	0	0	
0	0	2	0	0	4	0	0	0	61	0	2	0	0	0	0	
0	0	2	0	0	5	0	0	0	61	0	2	0	0	0	0	
0	0	2	0	0	6	0	0	0	61	0	2	0	0	0	0	
0	0	2	0	0	7	0	0	0	61	0	2	0	0	0	0	
0	0	2	0	0	9	0	0	0	61	0	2	0	0	0	0	
0	0	7	0	0	9	0	0	0	117	0	4	-3	0	0	0	
0	0	9	0	0	9	0	0	0	123	0	4	-5	0	0	0	
0	0	9	0	0	9	0	0	0	123	0	4	-5	0	0	0	
