Total Resources	Largest Network	Tiles Lost	Final Network	Resources_Spent	Nothing's Built	Snowman's Built	Fort's Built	Snow Factory's Built	Healing Pool's Built	Tree's Built	Base's Built	
250	2	0	2	800	0	0	0	0	1	0	1	
850	3	0	3	1600	0	0	0	0	2	0	1	
1750	4	0	4	2400	0	0	0	0	3	0	1	
2950	5	0	5	4000	0	0	0	1	3	0	1	
4550	6	0	6	5600	0	0	0	2	3	0	1	
6750	7	0	7	7200	0	0	0	3	3	0	1	
9550	8	0	8	8800	0	0	0	4	3	0	1	
12650	10	0	10	9600	0	0	0	4	4	1	1	
15900	10	0	10	9600	0	0	0	4	4	1	1	
19150	10	0	10	9600	0	0	0	4	4	1	1	
22400	10	0	10	9600	0	0	0	4	4	1	1	
