Total Resources	Largest Network	Tiles Lost	Final Network	Resources_Spent	Nothing's Built	Snowman's Built	Fort's Built	Snow Factory's Built	Healing Pool's Built	Tree's Built	Base's Built	
150	1	0	1	0	0	0	0	0	0	0	1	
400	1	0	1	0	0	0	0	0	0	0	1	
650	1	0	1	0	0	0	0	0	0	0	1	
900	1	0	1	0	0	0	0	0	0	0	1	
1150	1	0	1	0	0	0	0	0	0	0	1	
1400	1	0	1	0	0	0	0	0	0	0	1	
1650	1	0	1	0	0	0	0	0	0	0	1	
1900	1	0	1	0	0	0	0	0	0	0	1	
2150	1	0	1	0	0	0	0	0	0	0	1	
2400	1	0	1	0	0	0	0	0	0	0	1	
2650	1	0	1	0	0	0	0	0	0	0	1	
2900	1	0	1	0	0	0	0	0	0	0	1	
3150	1	0	1	0	0	0	0	0	0	0	1	
